RSO Name,Committee,Request Description,Type,Requested,Final Allocation
Shin Shin Toitsu Aikido,scf,"Winter Kagami Biraki Expenses (e.g. Travel, Honorariums, Lodging & Food)",,1282.5,500.0
Volleyball,scf,"NCVF Tournament Entry Fee, Lodging & Transportation",,3940.0,0.0
Triathlon,scf,Heart Rate Monitors & Race Kits,,1050.0,600.0
Figure Skating,scf,"Rink Admission, Skate Rentals & Rideshare Transportation",,1500.0,600.0
Men's Rugby,scf,NCR DII National Tournament Lodging & Transportation,,3176.54,1966.5
Tae Kwon Do,scf,"NCTA Registration Fee, Airfare, Lodging & Car Rental",,5185.0,4395.0
Men's Rugby,scf,NCR DII National Tournament Lodging,,4072.0,2688.0
Sailing,scf,"Southern Collegiate Offshore Regatta Flights, AirBnB, and Rental Car",,1654.0,686.0
Open Ultimate,scf,ComEd Rec Center Indoor Practice Space (x 3),,750.0,250.0
Men's Ice Hockey,scf,"BAHL Remaining League Fees, Midway Ice Time, Transport, Equipment & Dinner",,3137.42,1687.42
Volleyball,scf,"NCVF Tournament Entry Fee, Lodging & Ground Transportation",,4500.0,2480.0
Barbell,scf,Food and Snacks for Welcome Party,,200.0,0.0
Ultimate Frisbee (Women and Non-Binary),scf,ComEd Rec Center Indoor Practice Space + Commonwealth Cup Bid Fee,,2100.0,0.0
Road Runners,scf,Shamrock Shuffle 8K & Lifetime Half Marathon Race Fees,,2170.0,0.0
Crew,scf,Trailering for MACRAs & ACRAs,,6374.55,444.3
Figure Skating,scf,"Competition Event Fees, Lodging, Ice Time, and Rideshare Costs",,7200.0,1800.0
Table Tennis,scf,"NCTTA Regionals Travel, Lodging, and Registration",,7620.59,1792.79
Triathlon,scf,USAT Nationals Amtrak Tickets and U-HAUL Expenses,,4170.6,635.79
Field Hockey,scf,"Goalkeeper Equipment (Leg Guards, Shoes, Throat Protector, etc.)",,1884.7,584.98
Golf,scf,Nationals Entry Fees,,5021.0,2442.4
Crew,scf,Trailering Cost for ACRA + Equipment Repair,,7448.85,2880.0
Alpha Kappa Psi (Beta Epsilon),sgfc,Brunch with Booth Speakers,,1500.0,999.0
Alpha Kappa Psi (Beta Epsilon),sgfc,Professional Speaker Series,,2000.0,0.0
Alpha Kappa Psi (Beta Epsilon),sgfc,New Member Recruitment Info Sessions and Events (Part 1),,1500.0,0.0
Alpha Kappa Psi (Beta Epsilon),sgfc,Stock Pitch Competition,,1500.0,0.0
Alpha Kappa Psi (Beta Epsilon),sgfc,UNITY Programming,,2500.0,0.0
Dirt Red Brass Band,sgfc,UNITY Programming,,109.0,109.0
High Fidelity Music Collective,sgfc,Lunch and Listen,,2450.0,200.0
Argentine Tango Club,sgfc,Summer Workshops,,2915.0,0.0
Argentine Tango Club,sgfc,Concert with Winnie Quartet,,2247.0,2247.0
Women in Science,sgfc,STEM Soiree,,350.0,350.0
Paul Douglas Institute,sgfc,RSO Fair & Information Sessions,,408.98,320.82
Meditation and Buddhist Groups of UChicago,sgfc,Cushion,,1000.0,1000.0
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,sgfc,Grand Chapter Congress,,1745.0,1495.0
United Against Inequities in Disease,sgfc,Community Block Party,,850.0,850.0
Argentine Tango Club,sgfc,Tango Workshops,,2000.0,1325.0
Argentine Tango Club,sgfc,Milonga and Workshop,,,636.75
University Ministry of Christ Church Chicago,sgfc,Summer Supper & Scripture,,1112.71,112.71
Dirt Red Brass Band,sgfc,Capital Request: Bass Drum,,630.49,630.49
Community Health Initiative,sgfc,Englewood Health Fair,,1339.53,1339.53
UChicago Computational Biology Outreach,sgfc,South Side Science Festival,,211.74,211.74
SEVA Free Clinic,sgfc,SEVA Free Clinic Weekly Clinics Transportation,,1500.0,1162.5
African and Caribbean Students Association,sgfc,Seventh Annual Black Welcome Reception,,2226.5,2226.5
Blockchain Chicago,sgfc,Week 1 Kickoff & Interest Capture,,434.8,404.8
UChicago Synapse,sgfc,Beyond a Mammogram Hyde Park 5K,,839.6,839.6
Society of Asian Scientists and Engineers,sgfc,STEM Connect25 Collegiate Conference,,4221.15,2500.0
Project V Solutions Consulting,sgfc,New Member Networking,,541.09,541.09
Organization of Black Students,sgfc,7th Annual Black Welcome Ceremony,,2275.0,968.5
Promontory Investment Research,sgfc,Emerging Markets & LatAm Panelist Speaker Event,,2799.0,1197.0
Black Action in Public Policy Studies,sgfc,Tech and Media Needs,,620.0,0.0
Black Action in Public Policy Studies,sgfc,BAPPS Welcome Event,,500.0,240.0
Latino Medical Student Association,sgfc,LMSA Social Rounds,,480.0,0.0
Meditation and Buddhist Groups of UChicago,sgfc,10/9 and 10/10 Dharma Presentation by Ben Connelly,,960.0,270.0
Hindu Sangam,sgfc,Damodar Aarti Funding Request,,425.4,425.4
CityStep UChicago,sgfc,CityStep Curriculum Planning,,162.03,162.03
Dear Asian Youth,sgfc,Family Outing - Q1,,840.0,0.0
Latino Medical Student Association,sgfc,LMSA Social Rounds,,480.0,0.0
Latino Medical Student Association,sgfc,LMSA Transition Meeting,,360.0,0.0
NEURO Club,sgfc,Third Annual Halloween Trial,,641.0,641.0
Pep Band,sgfc,Football Game (Nov 1st),,200.0,200.0
Phoenix Farms,sgfc,Funding Request for Phoenix Farms Fall Festival,,606.69,606.69
The Ransom Notes,sgfc,Ransom Notes Donut Fundraiser,,197.99,197.99
The University of Chicago Glee Club,sgfc,Autumn Concert (Director Payment),,4000.0,2650.0
Voices in Your Head,sgfc,Fall Invitational Concert,,2059.92,1788.0
Writers' Workshop,sgfc,Funding Request for UChicago Writers' Workshop Write-In Events,,450.0,400.0
Midwave Radio,sgfc,Get to the Point! Inaugural Bonfire,,121.32,0.0
The University of Chicago Chapter of Partners in Health Engage,sgfc,2025 Kickoff Meeting,,110.0,0.0
International Student Organization,sgfc,International Students Organization,,800.0,0.0
Tennis Club,sgfc,Tennis Tournament at Washington University in St. Louis,,3076.88,0.0
Latino Medical Student Association,sgfc,LMSA Social Rounds,,480.0,0.0
Black Action in Public Policy Studies,sgfc,Study Buddies,,305.43,0.0
Latino Medical Student Association,sgfc,LMSA Transition Meeting,,360.0,0.0
Latino Medical Student Association,sgfc,LMSA Social Rounds,,480.0,0.0
Dear Asian Youth,sgfc,Family Outing - Q1,,840.0,0.0
University of Chicago Undergraduate Law Magazine,sgfc,Volume Release/Operations Cost,,6329.5,0.0
Midwave Radio,sgfc,Spiders and Cobbwebs,,1381.0,0.0
Ballroom and Latin Dance Association,sgfc,Purdue Ballroom Classic,,2390.0,2187.0
Singapore Society,sgfc,Day Trip to Chicago Premium Outlet,,500.0,0.0
UChicago Harm Reduction Project,sgfc,The Next Steps in Harm Reduction: Perspectives from Advocates and Organizers,,257.5,257.5
Midway Ventures,sgfc,VC Social,,498.0,270.0
Tennis Club,sgfc,2025 Badger Classic @ UW Madison,,4533.28,3102.27
Midway Ventures,sgfc,Midway Vecture: Vecture Capital Seminar,,2248.0,568.0
Game Music Ensemble,sgfc,Game Music Ensemble Fall Concert Funds,,886.08,660.88
Game Music Ensemble,sgfc,GME Drum Kit,,1292.88,892.88
Black Action in Public Policy Studies,sgfc,BAPPS Fall Quarter Social Activity,,336.5,231.5
Dear Asian Youth,sgfc,Family Outing - Q1 (second iteration),,840.0,0.0
Furries at UChicago,sgfc,Midwest Furfest Convention,,765.0,660.0
International Student Organization,sgfc,ISO Cultural Night: Voices and Vibrance,,800.0,800.0
Math Club,sgfc,Math Club Grad Student Q&A Panel,,306.0,85.0
OUTPatient,sgfc,LGBTQ+ Cross School Mixer,,390.5,390.5
UChicago Computational Biology Outreach,sgfc,Funding request to provide lunch for teacher training meeting,,300.0,300.0
UChicago Maya Dance Company,sgfc,Maya Presents: Smoke and Mirrors,,2400.69,2000.0
UChicagOrigami,sgfc,Origamist Jason Schneider Speaker Event,,125.0,125.0
University Ballet of Chicago,sgfc,Giselle costumes,,1803.13,1803.13
Argentine Tango Club,sgfc,Guided Practica and Advanced Workshops,,5000.0,0.0
Alpha Phi Omega,sgfc,APO Centennial National Convention,,922.4,922.4
Oeconomica,sgfc,2026 Econometrics Game,,16240.18,8252.18
Women in Science,sgfc,Dinner with the Dean,,500.0,376.98
Organization of Black Students,sgfc,Request for Community Events Funding,,1473.68,90.0
College Fed Challenge Team,sgfc,2025 College Fed Challenge National Finals Event - Request for Funding for Travel and Hotel,,6300.0,3543.25
Meditation and Buddhist Groups of UChicago,sgfc,"Rice Seedling Sutra Teaching and Q&A with Tibetan teacher, Khentrul Jurme Dorje",,600.0,0.0
Muslim Students Association,sgfc,Prophetic Lessons for Modern Life,,3690.0,1400.0
Science Olympiad,sgfc,Science Olympiad - Division B Funding Request,,5807.0,0.0
Science Olympiad,sgfc,Science Olympiad - Division C Funding Request,,5277.0,0.0
Science Olympiad,sgfc,Science Olympiad Socials,,900.0,0.0
Science Olympiad,sgfc,Science Olympiad Club Meetings,,150.0,0.0
South Asian Students’ Association,sgfc,SASA Family Program,,1650.0,1619.92
"Kheyal, Bengali Student Association",sgfc,Bengali Year End Cultural Event Celebration (Makar Sankranti and Bôṛdin),,4008.48,2963.97
AI @ UChicago,sgfc,CS123 Introduction to Building AI enabled Robots,,3020.63,2000.0
American Medical Student Association,sgfc,Pritzker Formal 2026,,23157.75,0.0
Arab Student Association,sgfc,Funding Request For Kunafa and Karaoke Cultural Activity,,305.0,204.0
Edge Entrepreneurship,sgfc,UChicago Edge Downtown Startup Speaker Visit,,528.0,0.0
Hong Kong Student Association,sgfc,HKSA Thanksgiving Cultural Celebration,,800.0,0.0
JGrads Chabad at UChicago,sgfc,Maimonides Lecture on Jewish Medical Ethics,,1728.96,948.96
JGrads Chabad at UChicago,sgfc,Jewish Law Lecture,,1663.96,883.96
JGrads Chabad at UChicago,sgfc,Pre-Chanukah Chanukiah-Making Workshop,,752.5,702.5
Pakistan Student Association,sgfc,PSA Welcome Dinner,,500.0,0.0
The Glass Eyeball,sgfc,Funds for Ida Noyes Darkroom,,200.0,184.43
UChicago Space Program,sgfc,Funding request for UCSP Rocketry launch with Indiana Rocketry on 11/30,,2134.38,0.0
Midwave Radio,sgfc,Learn to DJ with Midwave Radio and WHPK,,1600.0,0.0
Rhythm & Jews,sgfc,Rhythm & Jews Hanukkah Tour Food,,1416.0,1050.0
Classical Lecture Society,sgfc,Classical Lecture Society Annual Lecture 1,,1400.0,1040.0
Classical Lecture Society,sgfc,Classical Lecture Society Annual Lecture 2,,1500.0,1140.0
Gargoyle Consulting Club,sgfc,Archer Career Consulting Prep: Ascent Series,,4350.0,3750.0
Taiwanese American Student Association,sgfc,TASA Lunar New Year Formal,,1431.0,1411.0
Taiwanese American Student Association,sgfc,TASA Presents: Sean Wang,,9317.0,3522.75
Asian American InterVarsity,sgfc,AAIV Winter 2026 Retreat,,2222.9,2222.9
Go Club,sgfc,"Funding Request for Go Club Equipment, AGA Memberships, and End-of-Quarter Snacks",,914.0,674.0
Hong Kong Student Association,sgfc,HKSA Winter Quarter Welcome Dimsum,,798.5,798.5
American Medical Student Association,sgfc,Pritzker Formal 2026,,23157.75,13000.0
Midwave Radio,sgfc,Frostpunk,,1806.46,1206.46
Cana,sgfc,Veritas Weekend 2026,,1490.7,1490.7
OUTPatient,sgfc,"OUTPatient ""Lunch and Learn",,200.0,200.0
Rural Student Alliance,sgfc,PBR Travel Expenses,,939.8,0.0
Rural Student Alliance,sgfc,Ice Skating,,199.98,199.98
Dear Asian Youth,sgfc,Winter Quarter Project,,820.0,620.0
Hindu Sangam,sgfc,Maha Shivaratri Concert and Puja,,900.0,800.0
Muslim Students Association,sgfc,Quran Club Meals,,2609.28,1057.21
Outdoor Adventure Club,sgfc,OAC Ski/Snowboarding Trip (+ Lessons for First-Time Skiers!),,4378.42,3703.42
UChicago Bhangra,sgfc,Naach Augusta Bhangra Competition,,6685.0,5017.0
Game Music Ensemble,sgfc,Winter Concert,,1647.0,1621.4
Black Student Fellowship,sgfc,Week 5 Prayer and Worship Night,,167.96,167.96
Jade Chinese Music Ensemble,sgfc,Tango Workshop featuring Guest Musician Shinjoo Cho,,2015.0,1360.0
Asian Pacific American Medical Students Association,sgfc,Funding Request for 2026 APAMSA National Conference,,6157.4,5200.0
Paul Douglas Institute,sgfc,PDI Winter Symposium,,1111.0,791.0
Asian Policy Forum,sgfc,Asian New Year Celebration 2026 (Lunar New Year and Nowruz),,5500.0,2000.0
Delta Sigma Pi Professional Business Fraternity- Alpha Psi Chapter,sgfc,North Central LEAD Provincial Conference 2026,,5050.0,0.0
Sliced Bread,sgfc,Spring 2026 Sliced Bread Literature Magazine Printing,,1800.0,1800.0
TAMID Group,sgfc,TA-MIDway Skating: Learn about TAMID,,1317.0,1257.0
Organization of Black Students,sgfc,Funding Request for Black Conference 2026,,2500.0,1600.0
Meditation and Buddhist Groups of UChicago,sgfc,Finding the Stillness Within,,525.0,0.0
Meditation and Buddhist Groups of UChicago,sgfc,Chan/Zen Beginner’s Meditation Class with Iris Wang,,918.0,676.0
Graduate Christian Fellowship,sgfc,Year-End BBQ,,425.0,0.0
Dirt Red Brass Band,sgfc,Mixer and Bag,,147.89,0.0
Dirt Red Brass Band,sgfc,Speaker,,796.0,475.63
Dirt Red Brass Band,sgfc,Request Title Music & Service: Dirt Red Brass Band in New Orleans 2026,,8127.65,2242.85
Voices in Your Head,sgfc,Boston Sings [Boss] A Capella Event,,8734.12,3255.06
Outdoor Adventure Club,sgfc,"Big Bend National Park, Carlsbad Caverns, White Sands",,7915.0,1803.5
Outdoor Adventure Club,sgfc,"Great Sand Dunes, Mesa Verde, Canyonlands, Arches",,7214.38,1955.08
Outdoor Adventure Club,sgfc,Michigan: Upper Peninsula and Sleeping Bear Dunes),,2577.36,617.47
The Black Graduate Coalition,sgfc,Black History Month Gala,,3021.67,935.0
International Student Organization,sgfc,Lunar New Year and Holi Celebration,,800.0,800.0
Furries at UChicago,sgfc,Study Breaks,,153.0,33.0
Kreyòl Club,sgfc,Haitian Heritage Month,,1685.0,1216.0
University of Chicago Undergraduate Law Magazine,sgfc,ULM Winter SGFC Funding Request,,270.0,270.0
Tennis Club,sgfc,Club Tennis Sectionals Tournament,,3652.72,1927.22
Occam's Razor,sgfc,Occam's Razor Annual Retreat,,3495.0,0.0
Argentine Tango Club,sgfc,Where Fun Comes to Dance Choreography Workshop,,3000.0,1875.0
UChicago Space Program,sgfc,PULSE-A Work Session Food,,300.0,300.0
Writers' Workshop,sgfc,Funding Request for UChicago Writers' Workshop Write-In Events,,300.0,0.0
"Kheyal, Bengali Student Association",sgfc,Sahana Bajpaie Concert Event for Boshonto Utsab (Festival of Welcoming Spring),,12500.0,1946.0
Argentine Tango Club,sgfc,Milonga Corazón Rojo,,1257.0,770.75
Argentine Tango Club,sgfc,Practilonga la Primavera,,797.0,697.0
Phoenix Funds,sgfc,Winter Bowling Social,,306.0,0.0
The Classics Society,sgfc,"The Classics Society, Faculty Dinner and Workshop",,400.0,240.0
The University of Chicago Glee Club,sgfc,Winter Concert (Director Payment),,4000.0,2667.0
University Ministry of Christ Church Chicago,sgfc,UMC3 Bulls Game Funding,,179.88,179.88
Alianza de Latinx Medical Advocacy,sgfc,Pritzker School of Medicine Admissions Mixer Event,,34.14,29.85
Alianza de Latinx Medical Advocacy,sgfc,Latino Transplant Program: A Conversation with Dr. Perez-Gutierrez Event,,328.93,271.71
Dear Asian Youth,sgfc,Community Immersion Outing,,756.0,666.0
Pep Band,sgfc,Pep Band-WashU Trip,,2954.0,531.72
Ballroom and Latin Dance Association,sgfc,Badger Ballroom Dancesport Classic,,1160.0,369.9
Nigerian Students Association,sgfc,NSA Wedding 2026,,17515.0,0.0
UChicago Space Program,sgfc,PULSE-A Engineering Work Session,,300.0,300.0
Chicago Shady Dealer,sgfc,Distribution Party,,288.68,0.0
Kappa Theta Pi,sgfc,Unlock Your Tech Potential: All you need to know about Tech Recruitment (4-week workshop),,1450.0,0.0
Hindu Sangam,sgfc,Holi - colors,,540.0,540.0
Latino Medical Student Association,sgfc,LMSA Midwest Regional Conference 2026,,3104.19,0.0
Medusa,sgfc,Medusa Album Recording,,9300.0,0.0
MODA,sgfc,SGFC Request: MODA Magazine Launch Celebration,,360.2,0.0
The University of Chicago Chapter of Partners in Health Engage,sgfc,Strides in Solidarity - 5k Run,,635.34,0.0
Arab Student Association,sgfc,Funding for Iftar collaboration with SASA and ACSA,,1445.0,1145.0
African and Caribbean Students Association,sgfc,ACSA Annual Culture Show: re:genesis,,3000.0,0.0
Kappa Theta Pi,sgfc,Semi - formal,,800.0,0.0
Latino Medical Student Association,sgfc,LMSA Midwest Regional Conference 2026,,2444.19,569.18
UChicago Computational Biology Outreach,sgfc,Spring Events Materials,,159.99,159.99
UChicago Space Program,sgfc,IEEE AeroConf,,2630.0,954.27
Taiwanese American Student Association,sgfc,TASAssin Dinner,,245.46,0.0
Furries at UChicago,sgfc,Bunny Interaction Event,,240.0,240.0
Blockchain Chicago,sgfc,Blockchain Chicago - Winter Social & Projects Presentation,,424.0,380.07
CityStep UChicago,sgfc,CityStep SGFC: Spring Showcase,,247.9,0.0
Euphony Journal,sgfc,Euphony Spring Issue 2026 - Printing and Distribution,,1200.0,1200.0
Firebird Magazine,sgfc,Issue 5 Printing,,2638.27,2338.37
Taiwanese American Student Association,sgfc,TASA Lantern Making,,44.5,44.5
University of Chicago Association of Peruvian Students,sgfc,Peru Forum 2026,,2450.0,0.0
Arab Student Association,sgfc,Funding for Arab Conference at Harvard,,22464.16,7113.07
Minorities in Public Policy Studies,sgfc,Annual Minorities in Public Policy Gala SGFC Funding Request,,2000.0,0.0
Medusa,sgfc,Medusa Album Recording,,7100.0,0.0
University of Chicago Undergraduate Law Magazine,sgfc,"ULM Spring 2026, Volume IV Issue II Printing",,2492.0,2492.0
University of Chicago Association of Peruvian Students,sgfc,Peru Forum,,1953.0,1953.0
Student National Medical Association - Graduate,sgfc,Annual Medical Education Conference (AMEC),,1500.0,1500.0
Game Music Ensemble,sgfc,Spring Study Break,,119.5,119.5
Women in Science,sgfc,Women in Science,,840.0,810.0
Nigerian Students Association,sgfc,NSA Wedding 2026,,10000.0,8438.87
Ballroom and Latin Dance Association,sgfc,SGFC Request for Irish Dancesport Gala,,1223.0,1223.0
Hispanic and Luso-Brazilian Student Committee,sgfc,"10th Chicago Graduate Conference in Hispanic, Luso-Brazilian, and Latinx Studies - Keynote speaker hotel",,604.0,0.0
OUTPatient,sgfc,Paris is Burning Screening Fundraiser Event,,200.0,200.0
University of Chicago Undergraduate Law Magazine,sgfc,ULM Spring Fundraiser,,199.5,199.5
Ukrainian Society,sgfc,Ukrainian Easter Egg-Painting Workshop (Pysanka),,289.73,289.73
Everest Society,sgfc,Spring Quarter Everest Launch Networking Event,,844.75,844.75
Black Student Fellowship,sgfc,Week 3 BSF Food,,156.89,78.45
UChicago Survivor Production,sgfc,"Funding Request---Season 5 Screening Room Reservation, March 26, 2026",,140.0,140.0
neXus Dance Collective,sgfc,neXus - Spring Showcase Funding,,1656.4,1656.4
Muslim Students Association,sgfc,Quran Club Meals,,2789.28,1239.68
Game Music Ensemble,sgfc,Square Enix Concert,,1190.0,1190.0
CS Student Activities Council,sgfc,Uncommon Hacks,,4050.0,0.0
UChicago Bhangra,sgfc,Bhangra in the 404 Competition,,5942.0,3104.5
"Kheyal, Bengali Student Association",sgfc,Drama rehearsals,,8450.0,1237.5
Remedy,sgfc,REMEDY SGFC 2025-26 Application,,13452.35,0.0
JGrads Chabad at UChicago,sgfc,Shavuot Scholar in Residence,,1417.9,1417.9
JGrads Chabad at UChicago,sgfc,Counting of the Omer Lecture,,1500.0,1500.0
Minorities in Public Policy Studies,sgfc,Annual Minorities in Public Policy Gala SGFC Funding Request,,3000.0,3000.0
International Student Organization,sgfc,"Spanish Language Day: Stories, Culture, and Connection",,600.0,480.0
Graduate Christian Fellowship,sgfc,Year-End-BBQ,,366.0,366.0
Midwave Radio,sgfc,The UChicago Arts and Culture Festival,,2802.25,2802.25
Hong Kong Student Association,sgfc,HKSA Spring Quarter Dimsum Cultural Night,,798.5,848.5
Society of Women in Physics,sgfc,Pizza with Professors 2026,,498.14,498.14
Everest Society,sgfc,Everest Education Panelist Program Funding Request,,4181.1,3602.5
The Classics Society,sgfc,Classics Society Faculty Dinner and Workshop,,500.0,60.0
Taiwanese American Student Association,sgfc,TASA Formal,,1631.0,1631.0
Chicago Shady Dealer,sgfc,Funding for Spring,,844.0,845.2
UChicago Barbershop Harmony Club,sgfc,Instant Classic Trip,,400.0,320.0
UChicago Barbershop Harmony Club,sgfc,Vocal Spectrum Trip,,400.0,320.0
PULSE Magazine,sgfc,PULSE Launch Party 2026,,188.35,188.35
Argentine Tango Club,sgfc,Bachata Workshops,,1047.0,624.5
Argentine Tango Club,sgfc,End of Year Milonga,,1647.0,1550.0
UChicago Barbershop Harmony Club,sgfc,UBHC Barbershop Showcase,,200.0,200.0
UChicago Space Program,sgfc,UCSP Weekly Work Sessions Food Request,,1500.0,750.0
Quad Capital Management,sgfc,UChicago Endowment Presentation: Quad Capital Management,,1025.0,555.0
Quad Capital Management,sgfc,Travel Request: Quad Capital Management Presentation,,2420.0,0.0
Ukrainian Society,sgfc,Ukrainian Shashlyky BBQ,,426.0,421.0
UChicago Barbershop Harmony Club,sgfc,First Take Trip,,240.0,240.0
UChicago Coffee Lab,sgfc,UChicago Coffee Club End of Year Cupping Event,,1090.0,1090.0
United Against Inequities in Disease,csf,Summer Chair Yoga Workshops for Seniors,,1463.0,0.0
United Against Inequities in Disease,csf,Fall Chair Yoga Workshops for Seniors,,1140.79,0.0
Project Reproductive Freedom,csf,Period Packing Kit Event,,260.0,260.0
American Lung Cancer Screening Initiative,csf,ALCSI Fall Quarter Allocation Request,,1058.0,400.0
United Against Inequities in Disease,csf,CSF Request for Jingle & Mingle Wellness Fair,,1500.0,800.0
Food Run Project,csf,Feeding the Community! Food Run Project Funding.,,1940.0,660.0
UChicago Harm Reduction Project,csf,Community Service Fund Application,,518.93,518.93
United Against Inequities in Disease,csf,Fall Chair Yoga Workshops for Seniors,,796.88,628.88
CityStep UChicago,csf,CSF - Holiday Showings for CityStep Dance Classes,,249.2,206.15
Maria Shelters Resource Connection Program,csf,Maria Shelter RSO,,792.18,396.09
Science Olympiad,csf,Division B Tournament Funding,,4227.0,2290.83
Science Olympiad,csf,Division C Tournament Funding,,5307.0,2290.83
UChicago Computational Biology Outreach,csf,Funding request for transportation to Chicago Public Schools workshop for 20 volunteers,,1336.0,1336.0
Chicago Street Medicine,csf,Providing Supportive Supplies for Street Medicine Patients in the South Side,,4451.0,4451.0
UChicago Computational Biology Outreach,csf,"UCCOMBO Spring Events, DNA Days Transportation Fund",,1336.0,0.0
Organization of Black Students,csf,Funding request for Black Conference 2026,,1921.0,0.0
The University of Chicago Chapter of Partners in Health Engage,csf,Strides in Solidarity - 5k Run,,635.34,0.0
CityStep UChicago,csf,CityStep Spring Showcase,,1123.83,1123.83
Med-ucate,csf,Sheep Heart Dissection at St. Thomas the Apostle School,,248.9,248.9
